ST,CTY,NAICS,ESTAB_2023,GEOID,ESTAB_2018,CHANGE,PCT_CHANGE
1,1,492,183.00,01001,18.00,165.00,-81.72
1,3,492,844.00,01003,137.00,707.00,-15.85
1,5,492,42.00,01005,4.00,38.00,-95.82
1,7,492,56.00,01007,8.00,48.00,-94.44
1,9,492,159.00,01009,29.00,130.00,-84.24
1,11,492,8.00,01011,7.00,1.00,-99.21
1,13,492,38.00,01013,30.00,8.00,-96.25
1,15,492,306.00,01015,8.00,298.00,-69.85
1,17,492,79.00,01017,3.00,76.00,-92.23
1,19,492,36.00,01019,16.00,20.00,-96.47
1,21,492,105.00,01021,5.00,100.00,-89.72
1,23,492,8.00,01023,9.00,-1.00,-99.22
1,25,492,22.00,01025,4.00,18.00,-97.85
1,27,492,9.00,01027,22.00,-13.00,-99.12
1,29,492,13.00,01029,17.00,-4.00,-98.74
1,31,492,201.00,01031,9.00,192.00,-80.50
1,33,492,134.00,01033,4.00,130.00,-87.03
1,35,492,20.00,01035,5.00,15.00,-98.07
1,37,492,9.00,01037,51.00,-42.00,-99.13
1,39,492,56.00,01039,35.00,21.00,-94.61
1,41,492,20.00,01041,7.00,13.00,-98.08
1,43,492,264.00,01043,25.00,239.00,-74.69
1,45,492,159.00,01045,38.00,121.00,-84.78
1,47,492,62.00,01047,9.00,53.00,-94.08
1,49,492,118.00,01049,38.00,80.00,-88.75
1,51,492,195.00,01051,6.00,189.00,-81.45
1,53,492,55.00,01053,16.00,39.00,-94.78
1,55,492,284.00,01055,7.00,277.00,-73.08
1,57,492,10.00,01057,3.00,7.00,-99.05
1,59,492,50.00,01059,6.00,44.00,-95.28
1,61,492,48.00,01061,61.00,-13.00,-95.48
1,63,492,7.00,01063,15.00,-8.00,-99.34
1,65,492,32.00,01065,715.00,-683.00,-97.00
1,67,492,30.00,01067,4.00,26.00,-97.19
1,69,492,407.00,01069,54.00,353.00,-61.93
1,71,492,90.00,01071,7.00,83.00,-91.60
1,73,492,"2,962.00",01073,62.00,"2,900.00",176.05
1,77,492,303.00,01077,46.00,257.00,-71.87
1,79,492,63.00,01079,3.00,60.00,-94.16
1,81,492,478.00,01081,4.00,474.00,-55.78
1,83,492,376.00,01083,255.00,121.00,-65.28
1,85,492,12.00,01085,10.00,2.00,-98.89
1,87,492,38.00,01087,4.00,34.00,-96.50
1,89,492,"1,578.00",01089,18.00,"1,560.00",44.90
1,91,492,17.00,01091,266.00,-249.00,-98.44
1,93,492,30.00,01093,9.00,21.00,-97.26
1,95,492,282.00,01095,113.00,169.00,-74.25
1,97,492,"1,316.00",01097,47.00,"1,269.00",19.96
1,99,492,34.00,01099,6.00,28.00,-96.91
1,101,492,702.00,01101,11.00,691.00,-36.24
1,103,492,369.00,01103,4.00,365.00,-66.55
1,105,492,9.00,01105,11.00,-2.00,-99.19
1,107,492,13.00,01107,59.00,-46.00,-98.83
1,109,492,89.00,01109,226.00,-137.00,-91.97
1,111,492,24.00,01111,3.00,21.00,-97.84
1,113,492,212.00,01113,30.00,182.00,-80.95
1,115,492,379.00,01115,9.00,370.00,-66.01
1,117,492,979.00,01117,92.00,887.00,-12.35
1,119,492,10.00,01119,34.00,-24.00,-99.11
1,121,492,172.00,01121,4.00,168.00,-84.66
1,123,492,59.00,01123,6.00,53.00,-94.75
1,125,492,579.00,01125,20.00,559.00,-48.53
1,127,492,174.00,01127,132.00,42.00,-84.56
1,129,492,25.00,01129,5.00,20.00,-97.79
1,131,492,13.00,01131,50.00,-37.00,-98.85
1,133,492,35.00,01133,19.00,16.00,-96.91
2,20,492,"1,840.00",02020,28.00,"1,812.00",-8.91
2,50,492,7.00,02050,3.00,4.00,-99.66
2,63,492,6.00,02063,3.00,3.00,-99.71
2,66,492,6.00,02066,26.00,-20.00,-99.71
2,90,492,593.00,02090,4.00,589.00,-71.63
2,100,492,3.00,02100,8.00,-5.00,-99.86
2,110,492,86.00,02110,10.00,76.00,-95.92
2,122,492,120.00,02122,5.00,115.00,-94.34
2,130,492,12.00,02130,18.00,-6.00,-99.44
2,150,492,7.00,02150,65.00,-58.00,-99.67
2,170,492,497.00,02170,119.00,378.00,-77.10
2,180,492,0.00,02180,31.00,-31.00,-100.00
2,185,492,3.00,02185,6.00,-3.00,-99.86
2,188,492,3.00,02188,6.00,-3.00,-99.86
2,220,492,5.00,02220,"6,275.00","-6,270.00",-99.77
2,240,492,8.00,02240,121.00,-113.00,-99.64
2,290,492,7.00,02290,42.00,-35.00,-99.69
4,1,492,65.00,04001,"1,184.00","-1,119.00",-98.38
4,3,492,313.00,04003,441.00,-128.00,-92.18
4,5,492,471.00,04005,36.00,435.00,-88.24
4,7,492,105.00,04007,208.00,-103.00,-97.38
4,9,492,74.00,04009,55.00,19.00,-98.15
4,11,492,5.00,04011,4.00,1.00,-99.88
4,12,492,20.00,04012,19.00,1.00,-99.50
4,13,492,"22,818.00",04013,148.00,"22,670.00",468.60
4,15,492,560.00,04015,26.00,534.00,-86.05
4,17,492,214.00,04017,7.00,207.00,-94.67
4,19,492,"4,304.00",04019,4.00,"4,300.00",7.09
4,21,492,"2,212.00",04021,13.00,"2,199.00",-44.99
4,23,492,104.00,04023,14.00,90.00,-97.41
4,25,492,876.00,04025,42.00,834.00,-78.24
4,27,492,543.00,04027,47.00,496.00,-86.52
5,1,492,12.00,05001,42.00,-30.00,-99.76
5,3,492,14.00,05003,7.00,7.00,-99.72
5,5,492,170.00,05005,3.00,167.00,-96.60
5,7,492,"1,617.00",05007,4.00,"1,613.00",-67.71
5,9,492,151.00,05009,4.00,147.00,-96.99
5,11,492,14.00,05011,70.00,-56.00,-99.72
5,15,492,32.00,05015,5.00,27.00,-99.36
5,17,492,3.00,05017,10.00,-7.00,-99.94
5,19,492,39.00,05019,45.00,-6.00,-99.22
5,21,492,17.00,05021,15.00,2.00,-99.66
5,23,492,36.00,05023,13.00,23.00,-99.28
5,25,492,5.00,05025,9.00,-4.00,-99.90
5,27,492,16.00,05027,20.00,-4.00,-99.68
5,29,492,32.00,05029,4.00,28.00,-99.36
5,31,492,339.00,05031,15.00,324.00,-93.26
5,33,492,203.00,05033,15.00,188.00,-95.97
5,35,492,211.00,05035,3.00,208.00,-95.81
5,37,492,17.00,05037,20.00,-3.00,-99.66
5,39,492,8.00,05039,10.00,-2.00,-99.84
5,41,492,20.00,05041,9.00,11.00,-99.60
5,43,492,32.00,05043,3.00,29.00,-99.37
5,45,492,435.00,05045,7.00,428.00,-91.38
5,47,492,15.00,05047,7.00,8.00,-99.70
5,49,492,16.00,05049,46.00,-30.00,-99.68
